"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"1",1,"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Firstly, after your last mindfulness practice, did you try being mindful during an activity (e.g. chores or walking)?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","During the ten minute session, what percentage of time were you focusing on the practice? - % time focused"
"2",2,"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID3_1""}"
"3",3,"2022-01-13 14:13:26","2022-01-13 14:25:51","0","86.17.211.157","100","745","1","2022-01-13 14:25:51","R_AL5NOhNwutgEuT7","","","USWQK9GEVNNBTPHFQAKS","","50.8428955078125","-0.1157989501953125","email","EN","2","2.16","719.218","721.548","8","32"
"4",4,"2022-01-23 14:22:36","2022-01-23 14:35:27","0","90.242.143.25","100","771","1","2022-01-23 14:35:28","R_3MG2th6Gy4kzauQ","","","F1KKBZITHBN5IV1WSCNP","","51.3704986572265625","-0.4512939453125","email","EN","1","19.854","692.341","750.192","5","92"
"5",5,"2022-01-25 12:17:44","2022-01-25 12:18:02","0","139.184.223.121","100","18","1","2022-01-25 12:18:02","R_D1CaG2bgUUXvXbz","","","ZS6G0F3JKIS4PJDTG511","","50.8612060546875","-0.1194000244140625","email","EN","1","0.43","0.897","3.38","2","77"
"6",6,"2022-01-26 08:24:32","2022-01-26 08:39:14","0","139.184.223.128","100","881","1","2022-01-26 08:39:15","R_cCsw2BvLyMJfy2l","","","4ETYBOWZKGPDM7RP3XE7","","50.8612060546875","-0.1194000244140625","email","EN","1","329.051","329.051","867.824","1","59"
"7",7,"2022-01-26 12:56:23","2022-01-26 13:20:19","0","90.206.95.19","100","1436","1","2022-01-26 13:20:21","R_22S5LxyilhnSish","","","VR8O38DH419GX01WR0TJ","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","1084.541","0","92"
"8",8,"2022-01-28 10:29:52","2022-01-28 10:42:11","0","86.163.44.225","100","739","1","2022-01-28 10:42:12","R_1KydiVq9iTbJzaS","","","UII7RIJURII03SIIOA3Z","","50.83099365234375","-0.273406982421875","email","EN","1","7.112","698.669","707.494","3","87"
"9",9,"2022-01-29 10:51:51","2022-01-29 11:05:18","0","86.13.192.118","100","806","1","2022-01-29 11:05:18","R_3qEYDeFCWTLjcs9","","","B6Y3CA4MNSW30UT14WST","","50.8612060546875","-0.1194000244140625","email","EN","2","0.427","577.198","793.363","6","76"
"10",10,"2022-01-29 11:05:25","2022-01-29 11:17:56","0","139.184.223.142","100","750","1","2022-01-29 11:17:56","R_3916Qpyyt2LReox","","","PCD1CHUEEAG5SBASUQYI","","50.8612060546875","-0.1194000244140625","email","EN","1","9.076","11.046","731.281","2","84"
"11",11,"2022-01-29 11:08:04","2022-01-29 11:29:16","0","213.205.203.201","100","1272","1","2022-01-29 11:29:16","R_3sjFxLz0vTfEwCN","","","FHMBJXWDFDRD2KYRKBM5","","51.350006103515625","-0.3000030517578125","email","EN","2","0.467","1.808","732.648","3","38"
"12",12,"2022-01-30 09:10:58","2022-01-30 09:21:41","0","139.184.223.198","100","642","1","2022-01-30 09:21:41","R_3R87DQRhZzAAjkb","","","Q3XA120ISE00J3PSMFZZ","","50.8612060546875","-0.1194000244140625","email","EN","1","1.71","239.091","623.682","5","45"
"13",13,"2022-01-30 10:07:45","2022-01-30 10:08:45","0","82.7.28.121","100","60","1","2022-01-30 10:08:47","R_3M9wP3Ow3GvI4HB","","","GMGEK5LK1OJW0W56KKAB","","50.8612060546875","-0.1194000244140625","email","EN","1","4.897","6.924","40.432","2","53"
"14",14,"2022-01-30 19:16:19","2022-01-30 19:25:07","0","109.150.53.208","100","528","1","2022-01-30 19:25:07","R_vVJTlIxEbrTFXsR","","","I6JZIEHGCF4UVSKCZRNC","","51.26080322265625","-0.5543060302734375","email","EN","2","0","0","515.568","0","86"
"15",15,"2022-01-30 19:39:27","2022-01-30 20:04:07","0","81.106.65.4","100","1479","1","2022-01-30 20:04:08","R_1f3HJXg3qlPNd1A","","","X6W5W74TCDTPBADWXPBC","","50.8612060546875","-0.1194000244140625","email","EN","1","213.367","213.367","632.994","1","82"
"16",16,"2022-01-31 10:37:34","2022-01-31 10:50:11","0","90.206.92.191","100","757","1","2022-01-31 10:50:13","R_74b0U6mCQVFkzFD","","","KD7S1J4MID41P6F68YST","","50.8428955078125","-0.1157989501953125","email","EN","1","0","0","739.521","0","70"
"17",17,"2022-01-31 23:20:59","2022-01-31 23:31:59","0","139.184.223.161","100","660","1","2022-01-31 23:31:59","R_2EgyxGwQEKpP52F","","","G2VBHO3FIJNW8J1IN5ZV","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","643.865","0","81"
"18",18,"2022-02-01 13:07:57","2022-02-01 13:20:08","0","213.205.198.239","100","731","1","2022-02-01 13:21:02","R_DIe0J3LIGl3vwsh","","","1NEUL6JICGBZTA61WI74","","51.577606201171875","-0.1947021484375","email","EN","1","1.01","2.14","716.595","2","94"
"19",19,"2022-02-02 10:21:02","2022-02-02 10:33:32","0","37.60.109.183","100","750","1","2022-02-02 10:33:32","R_82549l8wGtKZLwt","","","ISEB8N4KQ7WQGUUMGVI9","","51.52130126953125","-0.2714996337890625","email","EN","1","0.487","0.931","1.792","2","50"
"20",20,"2022-02-03 10:50:20","2022-02-03 10:50:33","0","162.255.196.104","100","12","1","2022-02-03 10:50:33","R_3fuzmVMAwszp7Xe","","","FYRNBS4FZCIGDBVF4R5M","","43.2637939453125","76.929290771484375","email","EN","1","0.349","0.349","0.866","1","44"
"21",21,"2022-02-04 09:51:18","2022-02-04 10:04:08","0","92.40.137.75","100","770","1","2022-02-04 10:04:10","R_1gMZEZ7Kp9g3sl0","","","2IKHSWYACVNDZB4WC6V3","","51.4853973388671875","-0.3050994873046875","email","EN","1","4.425","230.269","733.825","4","62"
"22",22,"2022-02-06 21:43:50","2022-02-06 21:45:49","0","139.184.223.145","100","118","1","2022-02-06 21:45:49","R_1NypjMXRgg71Al8","","","WLJ4I0M1J0PRLZ1DQLXP","","50.8612060546875","-0.1194000244140625","email","EN","1","0.558","43.741","107.607","6","76"
"23",23,"2022-02-07 08:54:59","2022-02-07 09:06:59","0","81.101.21.54","100","720","1","2022-02-07 09:06:59","R_290neYARAlMiE69","","","NJPJ4WZM8S5WTCQB5XN9","","50.9582977294921875","-0.1342010498046875","email","EN","1","0.845","14.501","709.506","5","57"
"24",24,"2022-02-07 22:37:48","2022-02-07 22:53:23","0","81.97.237.118","100","934","1","2022-02-07 22:53:24","R_21uFy4QMLDLOIch","","","GRNH6PBHUTDS5RTZ9WZ2","","50.8612060546875","-0.1194000244140625","email","EN","1","29.451","866.843","904.222","18","52"
"25",25,"2022-02-09 22:19:49","2022-02-09 22:31:48","0","37.60.109.182","100","719","1","2022-02-09 22:31:48","R_1jEb0kNSOYqcFTK","","","3NHG6ZCC4IFIPS9GPY1R","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","702.516","0","80"
"26",26,"2022-02-10 09:01:16","2022-02-10 09:03:27","0","139.184.223.198","100","131","1","2022-02-10 09:03:27","R_1cTYXZWo7zSjDMG","","","IPR1B9O02M2N1BRUQ5JH","","50.8612060546875","-0.1194000244140625","email","EN","1","0.487","111.501","120.254","10","56"
"27",27,"2022-02-10 22:57:45","2022-02-10 23:08:50","0","87.80.222.23","100","664","1","2022-02-10 23:08:50","R_2V8AOeGn9sJa267","","","SE1XT06U2VPXJ9JZGS3J","","51.5493927001953125","-0.36639404296875","email","EN","1","1.329","646.174","647.821","5","53"
"28",28,"2022-02-11 10:54:48","2022-02-11 11:05:39","0","81.97.232.123","100","651","1","2022-02-11 11:05:39","R_3j0NXhIiwJiW0DG","","","J1ZC6MYFC6ULBVZDKY0G","","50.8428955078125","-0.1157989501953125","email","EN","1","9.503","638.948","639.83","3","90"
"29",29,"2022-02-13 08:58:03","2022-02-13 08:58:40","0","81.28.193.86","100","36","1","2022-02-13 08:58:40","R_tGNQkbFguZho10Z","","","8GHC1KMHELK1344I1ZWW","","46.3321075439453125","6.06109619140625","email","EN","1","2.208","6.977","10.122","2","81"
"30",30,"2022-02-14 09:03:41","2022-02-14 09:03:58","0","81.28.193.86","100","16","1","2022-02-14 09:03:58","R_31iuzJdMYr4NyJ2","","","8GHC1KMHELK1344I1ZWW","","46.3321075439453125","6.06109619140625","email","EN","1","1.509","4.074","4.941","5","82"
"31",31,"2022-02-14 19:30:07","2022-02-14 19:46:41","0","139.184.223.126","100","994","1","2022-02-14 19:46:43","R_WuQ4CYVhutreApP","","","UHF95LLLKD2HD6J5MOCU","","50.8612060546875","-0.1194000244140625","email","EN","1","0.755","690.542","691.336","4","87"
"32",32,"2022-02-15 19:05:02","2022-02-15 19:05:24","0","37.60.109.183","100","22","1","2022-02-15 19:05:24","R_3LZPT2qL9UDihaB","","","FFHKX0X4EMTOGQ7X7IXY","","50.8612060546875","-0.1194000244140625","email","EN","2","0.387","10.375","13.015","7","39"
"33",33,"2022-02-15 20:52:45","2022-02-15 21:51:45","0","86.9.24.170","100","3539","1","2022-02-15 21:51:45","R_1HirVeXQUtSjzPk","","","J90X1EGRJ5I83WIJI6K4","","50.8612060546875","-0.1194000244140625","email","EN","1","24.947","24.947","671.987","1","81"
"34",34,"2022-02-16 17:59:06","2022-02-16 18:11:31","0","82.27.85.94","100","744","1","2022-02-16 18:11:32","R_2AQfa5L2x72wbT7","","","UFJ7IQ624TR4009JD79B","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","731.79","0","71"
"35",35,"2022-02-16 20:31:02","2022-02-16 20:42:27","0","86.20.40.31","100","685","1","2022-02-16 20:42:28","R_1DFQHmHWZm7OIHV","","","ZHIR4GC73ZNJQJEM2PRN","","50.8428955078125","-0.1157989501953125","email","EN","2","0","0","669.956","0","29"
"36",36,"2022-02-18 07:41:27","2022-02-18 07:54:22","0","37.60.109.184","100","775","1","2022-02-18 07:54:23","R_2eUxqsmXnejMDQK","","","FY6YMSZ1WR43ZI0CZXO6","","51.2476043701171875","-0.7671966552734375","anonymous","EN","1","95.382","667.319","761.671","3","70"
"37",37,"2022-02-19 11:55:57","2022-02-19 12:14:56","0","86.20.43.103","100","1138","1","2022-02-19 12:14:57","R_6yerD3IWLlgCGR3","","","NEV8O0IGMU52HJZ7ZJVE","","50.8428955078125","-0.1157989501953125","email","EN","1","1112.513","1112.513","1114.833","1","70"
"38",38,"2022-02-19 15:41:34","2022-02-19 15:53:47","0","109.151.172.42","100","732","1","2022-02-19 15:53:48","R_O3SpSKfZ4F4kcKt","","","L4R4MR2B5O1824X9K0XF","","50.848297119140625","-0.44720458984375","email","EN","1","0","0","718.414","0","76"
"39",39,"2022-02-19 18:46:55","2022-02-19 18:47:15","0","37.60.109.183","100","19","1","2022-02-19 18:47:16","R_2uNzCEA6WQGE3wb","","","941J6LKPVDBYFWWH4413","","50.8612060546875","-0.1194000244140625","email","EN","1","1.919","1.919","3.06","1","81"
"40",40,"2022-02-19 21:21:11","2022-02-20 01:06:03","0","2.222.244.31","100","13491","1","2022-02-20 01:06:04","R_3hhFlwCA6rT3MfY","","","JDFUUG7JOJXWFYMWQXZQ","","50.797607421875","0.3029022216796875","email","EN","1","4.525","758.903","760.25","3","67"
"41",41,"2022-02-20 19:51:44","2022-02-20 20:03:56","0","79.77.40.96","100","732","1","2022-02-20 20:03:57","R_1LUxuOsng91x2OL","","","6Q5C8ZJWC79IE0QUBZRZ","","51.581207275390625","-0.1656951904296875","email","EN","2","0","0","700.383","0","85"
"42",42,"2022-02-22 09:05:56","2022-02-22 09:18:13","0","139.184.223.142","100","736","1","2022-02-22 09:18:13","R_10JFitBEfC3zd6k","","","3054OQ06H3R8MV8Q34OP","","50.8612060546875","-0.1194000244140625","email","EN","1","0.748","32.393","720.171","9","90"
"43",43,"2022-02-23 14:32:46","2022-02-23 14:43:44","0","37.60.109.182","100","658","1","2022-02-23 14:43:46","R_2ykl6iwcq70YCIT","","","0QRFUYU440RBS3DDTDYM","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","643.66","0","82"
"44",44,"2022-02-23 19:37:34","2022-02-23 19:49:45","0","37.60.109.182","100","731","1","2022-02-23 19:49:46","R_1q2hyuydjgDZE4W","","","3SGKOL4G3ONML2Z0XUIW","","50.8612060546875","-0.1194000244140625","email","EN","2","1.836","716.062","717.008","2","14"
